STATE|STATEFP|COUNTYFP|COUNTYNS|COUNTYNAME|CLASSFP|FUNCSTAT
TX|48|409|1383990|San Patricio County|H1|A
TX|48|411|1383991|San Saba County|H1|A
TX|48|413|1383992|Schleicher County|H1|A
TX|48|415|1383993|Scurry County|H1|A
TX|48|417|1383994|Shackelford County|H1|A
TX|48|419|1383995|Shelby County|H1|A
TX|48|421|1383996|Sherman County|H1|A
TX|48|423|1383997|Smith County|H1|A
TX|48|425|1383998|Somervell County|H1|A
TX|48|427|1383999|Starr County|H1|A
TX|48|429|1384000|Stephens County|H1|A
TX|48|431|1384001|Sterling County|H1|A
TX|48|433|1384002|Stonewall County|H1|A
TX|48|435|1384003|Sutton County|H1|A
TX|48|437|1384004|Swisher County|H1|A
TX|48|439|1384005|Tarrant County|H1|A
TX|48|441|1384006|Taylor County|H1|A
TX|48|443|1384007|Terrell County|H1|A
TX|48|445|1384008|Terry County|H1|A
TX|48|447|1384009|Throckmorton County|H1|A
TX|48|449|1384010|Titus County|H1|A
TX|48|451|1384011|Tom Green County|H1|A
TX|48|453|1384012|Travis County|H1|A
TX|48|455|1384013|Trinity County|H1|A
TX|48|457|1384014|Tyler County|H1|A
TX|48|459|1384015|Upshur County|H1|A
TX|48|461|1384016|Upton County|H1|A
TX|48|463|1384017|Uvalde County|H1|A
TX|48|465|1384018|Val Verde County|H1|A
TX|48|467|1384019|Van Zandt County|H1|A
TX|48|469|1384020|Victoria County|H1|A
TX|48|471|1384021|Walker County|H1|A
TX|48|473|1384022|Waller County|H1|A
TX|48|475|1384023|Ward County|H1|A
TX|48|477|1384024|Washington County|H1|A
TX|48|479|1384025|Webb County|H1|A
TX|48|481|1384026|Wharton County|H1|A
TX|48|483|1384027|Wheeler County|H1|A
TX|48|485|1384028|Wichita County|H1|A
TX|48|487|1384029|Wilbarger County|H1|A
TX|48|489|1384030|Willacy County|H1|A
TX|48|491|1384031|Williamson County|H1|A
TX|48|493|1384032|Wilson County|H1|A
TX|48|495|1384033|Winkler County|H1|A
TX|48|497|1384034|Wise County|H1|A
TX|48|499|1384035|Wood County|H1|A
TX|48|501|1384036|Yoakum County|H1|A
TX|48|503|1384037|Young County|H1|A
TX|48|505|1384038|Zapata County|H1|A
TX|48|507|1384039|Zavala County|H1|A
